iter	Passed	Remaining
390	3337	5197
391	3351	5197
392	3353	5179
393	3371	5184
394	3420	5238
395	3422	5220
396	3439	5223
397	3453	5223
398	3455	5205
399	3495	5242
400	3501	5230
401	3510	5222
402	3518	5212
403	3527	5203
404	3706	5444
405	3712	5431
406	3715	5413
407	3717	5393
408	3719	5374
409	3722	5356
410	3727	5342
411	3731	5325
412	3734	5308
413	3744	5299
414	3764	5305
415	3819	5361
416	3825	5348
417	3831	5334
418	3839	5323
419	3842	5306
420	3854	5301
421	3868	5297
422	3871	5280
423	3876	5266
424	3879	5248
425	3893	5246
426	3896	5228
427	3902	5215
428	3909	5202
429	3914	5188
430	3922	5178
431	3925	5160
432	3927	5142
433	3929	5124
434	3931	5106
435	3934	5089
436	3936	5071
437	3938	5053
438	3951	5049
439	3953	5031
440	3958	5018
441	3967	5008
442	3970	4992
443	3976	4979
444	3979	4963
445	3982	4946
446	3985	4931
447	3992	4919
448	3996	4904
449	4000	4889
450	4008	4879
451	4011	4863
452	4014	4846
453	4016	4830
454	4024	4820
455	4027	4804
456	4031	4789
457	4038	4779
458	4042	4764
459	4045	4749
460	4051	4737
461	4054	4721
462	4057	4706
463	4060	4690
464	4066	4679
465	4070	4663
466	4073	4648
467	4079	4637
468	4086	4626
469	4090	4612
470	4096	4600
471	4099	4586
472	4103	4571
473	4107	4558
474	4111	4544
475	4114	4529
476	4117	4514
477	4122	4502
478	4125	4487
479	4128	4473
480	4132	4459
481	4138	4447
482	4145	4436
483	4152	4426
484	4156	4414
485	4160	4400
486	4166	4389
487	4170	4375
488	4172	4360
489	4175	4345
490	4181	4335
491	4192	4329
492	4203	4322
493	4207	4309
494	4212	4297
495	4226	4295
496	4230	4281
497	4238	4272
498	4245	4262
499	4254	4254
500	4257	4240
501	4261	4227
502	4271	4220
503	4274	4206
504	4276	4192
505	4283	4182
506	4287	4168
507	4290	4155
508	4297	4145
509	4301	4133
510	4304	4119
511	4312	4110
512	4315	4096
513	4318	4082
514	4320	4068
515	4327	4058
516	4329	4044
517	4332	4031
518	4335	4018
519	4341	4007
520	4344	3994
521	4348	3982
522	4352	3969
523	4358	3959
524	4363	3947
525	4366	3934
526	4372	3924
527	4375	3911
528	4380	3899
529	4387	3890
530	4390	3878
531	4393	3865
532	4396	3852
533	4404	3843
534	4408	3831
535	4411	3818
536	4418	3809
537	4422	3797
538	4425	3785
539	4428	3772
540	4435	3762
541	4439	3751
542	4441	3738
543	4445	3726
544	4451	3716
545	4453	3703
546	4461	3694
547	4464	3682
548	4467	3669
549	4470	3657
550	4478	3649
551	4481	3636
552	4483	3624
553	4487	3612
554	4492	3602
555	4497	3591
556	4501	3580
557	4508	3571
558	4513	3561
559	4518	3550
560	4525	3541
561	4527	3528
562	4531	3517
563	4535	3505
564	4539	3494
565	4544	3484
566	4546	3472
567	4551	3461
568	4554	3449
569	4558	3438
570	4564	3429
571	4569	3418
572	4572	3407
573	4577	3397
574	4580	3385
575	4585	3375
576	4593	3367
577	4597	3356
578	4599	3344
579	4603	3333
580	4604	3320
581	4615	3314
582	4618	3303
583	4625	3294
584	4628	3283
585	4631	3271
586	4633	3260
587	4640	3251
588	4643	3240
589	4646	3228
590	4649	3217
591	4654	3208
592	4657	3196
593	4660	3185
594	4663	3174
595	4668	3164
596	4670	3153
597	4674	3142
598	4677	3131
599	4682	3121
600	4686	3111
601	4690	3100
602	4734	3117
603	4736	3105
604	4740	3095
605	4752	3089
606	4755	3079
607	4757	3067
608	4759	3056
609	4765	3046
610	4770	3037
611	4772	3025
612	4775	3015
613	4778	3004
614	4782	2993
615	4784	2982
616	4791	2974
617	4794	2963
618	4797	2953
619	4800	2942
620	4803	2931
621	4809	2923
622	4813	2912
623	4816	2902
624	4822	2893
625	4827	2883
626	4832	2874
627	4853	2875
628	4856	2864
629	4863	2856
630	4865	2845
631	4867	2833
632	4883	2831
633	4885	2820
634	4906	2820
635	4911	2810
636	4913	2799
637	4915	2788
638	4917	2778
639	4929	2772
640	4932	2762
641	4934	2751
642	4937	2741
643	4945	2734
644	4977	2739
645	4983	2730
646	4985	2719
647	4993	2712
648	4995	2701
649	4997	2691
650	5008	2685
651	5013	2675
652	5015	2665
653	5020	2655
654	5022	2645
655	5076	2661
656	5079	2651
657	5082	2641
658	5084	2631
659	5096	2625
660	5099	2615
661	5118	2613
662	5133	2609
663	5136	2598
664	5149	2593
665	5156	2585
666	5239	2615
667	5246	2607
668	5248	2597
669	5251	2586
670	5266	2582
671	5276	2575
672	5282	2566
673	5296	2561
674	5298	2551
675	5300	2540
676	5305	2531
677	5330	2531
678	5336	2522
679	5344	2515
680	5346	2504
681	5355	2496
682	5362	2489
683	5369	2480
684	5373	2471
685	5376	2460
686	5379	2450
687	5406	2451
688	5408	2441
689	5438	2443
690	5442	2433
691	5444	2423
692	5461	2419
693	5466	2410
694	5469	2400
695	5482	2394
696	5486	2384
697	5509	2383
698	5511	2373
699	5515	2363
700	5517	2353
701	5525	2345
702	5528	2335
703	5531	2325
704	5538	2317
705	5541	2307
706	5543	2297
707	5547	2287
708	5554	2279
709	5557	2269
710	5566	2262
711	5568	2252
712	5571	2242
713	5586	2237
714	5589	2227
715	5600	2221
716	5603	2211
717	5605	2201
718	5616	2195
719	5633	2190
720	5636	2181
721	5645	2173
722	5649	2164
723	5652	2154
724	5660	2147
725	5663	2137
726	5666	2128
727	5669	2118
728	5673	2109
729	5677	2099
730	5680	2090
731	5685	2081
732	5688	2072
733	5694	2063
734	5698	2054
735	5701	2045
736	5703	2035
737	5705	2025
738	5708	2016
739	5710	2006
740	5714	1997
741	5718	1988
742	5721	1978
743	5724	1969
744	5726	1960
745	5731	1951
746	5737	1943
747	5739	1933
748	5742	1924
749	5748	1916
750	5750	1906
751	5753	1897
752	5759	1889
753	5762	1880
754	5765	1870
755	5769	1862
756	5772	1853
757	5778	1844
758	5786	1837
759	5789	1828
760	5795	1819
761	5803	1812
762	5806	1803
763	5815	1796
764	5818	1787
765	5821	1778
766	5827	1770
767	5831	1761
768	5834	1752
769	5836	1743
770	5844	1735
771	5848	1727
772	5852	1718
773	5854	1709
774	5859	1701
775	5862	1692
776	5865	1683
777	5874	1676
778	5889	1670
779	5892	1662
780	5894	1652
781	5896	1643
782	5900	1635
783	5903	1626
784	5905	1617
785	5918	1611
786	5920	1602
787	5926	1594
788	5934	1586
789	5936	1578
790	5943	1570
791	6081	1597
792	6089	1589
793	6091	1580
794	6095	1571
795	6102	1563
796	6110	1556
797	6119	1549
798	6126	1541
799	6132	1533
800	6267	1556
801	6271	1548
802	6273	1539
803	6275	1529
804	6282	1521
805	6288	1513
806	6295	1505
807	6297	1496
808	6307	1489
809	6316	1481
810	6320	1473
811	6323	1464
812	6402	1472
813	6409	1464
814	6415	1456
815	6418	1447
816	6440	1442
817	6443	1433
818	6446	1424
819	6451	1416
820	6453	1407
821	6456	1398
822	6460	1389
823	6465	1380
824	6601	1400
825	6603	1390
826	6619	1384
827	6622	1375
828	6625	1366
829	6627	1357
830	6630	1348
831	6632	1339
832	6634	1330
833	6637	1321
834	6639	1311
835	6642	1303
836	6647	1294
837	6689	1293
838	6691	1284
839	6698	1275
840	6703	1267
841	6711	1259
842	6714	1250
843	6716	1241
844	6731	1234
845	6733	1225
846	6740	1217
847	6750	1209
848	6766	1203
849	6782	1196
850	6798	1190
851	6811	1183
852	6813	1174
853	6826	1167
854	6831	1158
855	6846	1151
856	6848	1142
857	6859	1135
858	6873	1128
859	6876	1119
860	6878	1110
861	6892	1103
862	6926	1099
863	6929	1090
864	6931	1081
865	6957	1076
866	6960	1067
867	6971	1060
868	6987	1053
869	6990	1044
870	6993	1035
871	6997	1027
872	7004	1018
873	7054	1017
874	7057	1008
875	7061	999
876	7103	996
877	7123	989
878	7126	981
879	7128	972
880	7133	963
881	7137	954
882	7140	946
883	7153	938
884	7156	929
885	7169	922
886	7182	915
887	7197	907
888	7200	898
889	7203	890
890	7211	882
891	7215	873
892	7228	866
893	7242	858
894	7248	850
895	7260	842
896	7262	833
897	7271	825
898	7275	817
899	7290	810
900	7304	802
901	7312	794
902	7328	787
903	7335	779
904	7340	770
905	7342	761
906	7351	753
907	7355	745
908	7358	736
909	7364	728
910	7366	719
911	7368	711
912	7375	702
913	7400	696
914	7406	688
915	7409	679
916	7412	670
917	7414	662
918	7425	654
919	7429	646
920	7443	638
921	7445	629
922	7455	621
923	7459	613
924	7461	605
925	7468	596
926	7472	588
927	7474	579
928	7476	571
929	7490	563
930	7494	555
931	7497	547
932	7500	538
933	7503	530
934	7509	522
935	7511	513
936	7513	505
937	7515	496
938	7518	488
939	7520	480
940	7525	471
941	7529	463
942	7535	455
943	7541	447
944	7544	439
945	7546	430
946	7549	422
947	7553	414
948	7559	406
949	7567	398
950	7576	390
951	7607	383
952	7609	375
953	7612	367
954	7614	358
955	7617	350
956	7619	342
957	7622	334
958	7624	325
959	7629	317
960	7631	309
961	7644	301
962	7646	293
963	7649	285
964	7654	277
965	7656	269
966	7666	261
967	7677	253
968	7688	245
969	7690	237
970	7700	229
971	7711	222
972	7758	215
973	7760	207
974	7773	199
975	7781	191
976	7784	183
977	7787	175
978	7790	167
979	7797	159
980	7799	151
981	7802	143
982	7808	135
983	7817	127
984	7822	119
985	7825	111
986	7831	103
987	7837	95
988	7841	87
989	7863	79
990	7865	71
991	7874	63
992	7879	55
993	7885	47
994	7894	39
995	7911	31
996	7918	23
997	7922	15
998	7924	7
999	7926	0
